Transcript,Sentiment
"THE RACE STADIUM SCENE AND THE MALL SCENES IN THE BEGINNING AND THE END WHERE MASSIVE AMOUNTS OF PEOPLE DIE IN THE CRAZIEST WAYS ARE PRETTY GOOD FOR LATE NIGHT BUDDY VIEWING YOU SEE YOU KNOW WHAT I MEAN BY LATE NIGHT BUDDY VIEWINGS
",POSITIVE
" SNAP MOST OF THE CRITICS ARE RIGHT
",NEGATIVE
"IT JUST REALLY HEH
",NEGATIVE
"BUT IF YOU LOVED THE SERIES AND YOU ALSO LIKED XXX THE FIRST MOVIE THAN YOURE STILL GONNA HAVE FUN 
",POSITIVE
"JUST GO IN WITH LOW EXPECTAIONS 
",NEGATIVE
"IF YOUR PET PEES CARRIE WORE THOSE HORRENDOUS HIDEOUS HATS THEY WERE NOT CATCHING THE BALL
",NEGATIVE
"AND A FEW TIMES I DIDNT LIKE THE FASHION
",NEGATIVE
"A FEW TIMES I THOUGHT THAT WAS BUMPED WAY OVER THE TOP
",NEGATIVE
" AND THEY KIND OF LOOKED LIKE CLOWNS THE DESERT SCENE WAS ONE OF THEM
",NEGATIVE
" UM BUT YOU KNOW THE PREMISE IS OK 
",POSITIVE
"AND THERE ARE A FEW NICE MOMENTS
",POSITIVE
"THE MOVIE IS REALLY TOO LONG 
",NEGATIVE
"THEY SHOULDVE JUST CUT THE WEDDING IN THE BEGINNING
",NEGATIVE
"ITS NOT EVEN NECESSARY FOR THE PLOT
",NEGATIVE
"I ALSO THOUGHT THAT DESERT RIDING THE CAMELS ALL TROUP STOPPED LOOKING LIKE CLOWNS
",NEGATIVE
" BUT ALSO NOT NECESSARY
",NEGATIVE
"BUT I LOVE THE MOMENT WITH CHARLOTTE IN THE CLOSET BECAUSE WHO HASNT EXPERIENCED THAT
",POSITIVE
" AND UM IT WAS JUST FUN TO SEE YOUR OLD FRIENDS AGAIN
",POSITIVE
"SO IF YOUR A FAN ID DO IT
",POSITIVE
" BUT DONT EXPECT MUCH 
",NEGATIVE
"THE WRITING ISNT AS GOOD AS THE FIRST
",NEGATIVE
"THE STORYLINE ISNT THIS GOOD
",NEGATIVE
"BUT IF YOU DONT EXPECT A LOT I THINK YOULL ENJOY IT
",POSITIVE
"AND IT WAS ACTUALLY PRETTY GOOD
",POSITIVE
"UM I WAS EXPECTING SETH ROGAN TO BE A LITTLE BIT MORE SERIOUS IN THIS MOVIE BUT HE WASNT
",NEGATIVE
"HE WAS THE SAME OLD GOOFY SETH ROGAN THAT WE ALL KNOW
",NEGATIVE
"UM BUT IT WAS STILL A GOOD FILM
",POSITIVE
"UM I THINK THAT I MEAN I HAD FUN WITH IT
",POSITIVE
" SO TO ME THATS A PRETTY GOOD MOVIE
",POSITIVE
"AND UM BECAUSE OF THAT I WAS EXPECTING SETH ROGAN TO MAYBE TRY TO BE A LITTLE BIT MORE SERIOUS BUT HE WASNT
",NEGATIVE
" BUT YOU KNOW THATS OK I GUESS
",POSITIVE
" UM I STILL HAD FUN WITH IT
",POSITIVE
"UM THE CAR THE BLACK BEAUTY THAT WAS AMAZING ALL THE GUNS EVEN THE CAR OVER THERE THAT WAS REALLY SWEET
",POSITIVE
" AND ALL THE ACTION SCENES WERE GREAT 
",POSITIVE
"THE SPECIAL EFFECTS WERE GREAT AND THE GUY WHO PLAYED KATO WHOSE FIRST NAME IS J
",POSITIVE
"UM HE WAS GOOD 
",POSITIVE
"HE PLAYED KATO PERFECTLY
",POSITIVE
"AND HE DID A GREAT JOB
",POSITIVE
" UM THE ACTING WAS WAS PRETTY GOOD 
",POSITIVE
"AND THE ACTION WAS GOOD
",POSITIVE
" UM I WOULD DEFINATELLY RECOMMEND YOU GO SEE IT IN THEATERS
",POSITIVE
"COZ TAKE A BUNCH OF YOUR FRIENDS BECAUSE YOU YOU GUYS WILL HAVE A GOOD TIME
",POSITIVE
"AND YOULL LAUGH
",POSITIVE
" IT IS FUNNY ITS A FUNNY MOVIE
",POSITIVE
"LOTS OF LOTS OF LAUGH OUT LOUD MOMENT I GUESS YOU COULD SAY 
",POSITIVE
"BUT UM YEAH GO CHECK IT OUT
",POSITIVE
"ITS ONE ITS ONE TO CHECK OUT IN THEATERS I WOULD SAY
",POSITIVE
"UM SNIF BUT YEAH SO THE GREEN HORNET IT WAS OK
",POSITIVE
"I EXPECTED A LITTLE BIT MORE SERIOUSNESS
",NEGATIVE
"BUT IT WAS STILL GOOD
",POSITIVE
"IT GET IT GETS PRETTY SERIOUS 
",POSITIVE
"AND UM FUN AT THE END 
",POSITIVE
"TOO PRETTY INTENSE AT THE END
",POSITIVE
"IM A BIG FAN OF THE FIRST TRON
",POSITIVE
"UM I THOUGHT THIS IS THE PERFECT TIME TO HAVE A TRON SEQUEL
",POSITIVE
"BECAUSE UM IN AT THE BEGINNING OF THE 1980S PEOPLE THOUGHT THAT COMPUTERS CAN DO EVERY EVERY ANYTHING 
",POSITIVE
"AND EVERYTHING AND NOW TECHNOLOGY ACTUALLY DOES ANYTHING AND EVERYTHING
",POSITIVE
"BECAUSE IT KINDA CONTROLS OUR LIVES SO IT WAS THE PERFECT TIME FOR A TRON SEQUEL
",POSITIVE
"UNFORTUNATELY UM THE WRITERS AND I WERE NOT EXACTLY ON THE SAME WAVELENGTH
",NEGATIVE
"LIP SMACKING BUT I WILL SAY THAT THE FIRST THIRD OF THIS MOVIE IS AMAZING
",POSITIVE
"ITS THE BEST SUMMER MOVIE IVE SEEN ALL YEAR
",POSITIVE
" BUT YOU KNOW THE PACING IS SO GOOD
",POSITIVE
" IT GETS STRAIGHT INTO THE STORY
",POSITIVE
"YOU HAVE LOTS OF UH REFERENCES TO THE FIRST MOVIE
",POSITIVE
"YOU HAVE NEW CHARACTERS THAT ACTUALLY HAVE A CONNECTION TO THE OLD ONES
",POSITIVE
"AND ONCE SAM FLYNN ENTERS THE GRID YOU KNOW THE SOUNDTRACK DRAWS YOU IN
",POSITIVE
"THE SPECIAL EFFECTS LOOK AMAZING
",POSITIVE
"UH THEY DONT WASTE A LOT OF TIME ON EXPOSITION
",NEGATIVE
"BECAUSE THE MINUTE THE SOUNDPLANE ENTERS THE GRID HE IS PUT IN THE GAMES
",POSITIVE
"AND LET ME TELL YOU THE GAMES LOOK GREAT
",POSITIVE
"ALL THOSE ACTION SEQUENCES IN INVOLVING THE GAMES WERE GREAT TO WATCH
",POSITIVE
"UM THE CHO THE CHOREOGRAPHY OF THE FIGHTS THE SPECIAL EFFECTS I WAS SO HAPPY TO BE BACK IN THE GRID THAT I WASNT REALLY THINKING ABOUT THE STORY OR WHERE THE STORY WAS GOING
",POSITIVE
"BUT THEN SAM FLYNN MEETS HIS FATHER AND TRON BASICALLY TURNS INTO A STAR WARS PREQUEL AFTER THAT ONE
",NEGATIVE
" DISCONNECTION THEN THAT HAPPENS AT THAT POINT
",NEGATIVE
"THE WRITERS JUST PULL THIS OUT OF THEIR ASS
",NEGATIVE
" AND THE WHOLE MOVIE BECOMES ABOUT THESE CRAZY I I ISOS 
",NEGATIVE
"AND ITS JUST LIKE OR WHY DO WE NEED THESE THINGS 
",NEGATIVE
"IT DOESNT MAKE ANY SENSE 
",NEGATIVE
"BECAUSE WHEN THE OLD FLYNN FINDS THESE THINGS WHATEVER THEY ARE THEYRE SO WISE AND NAIVE KINDA LIKE NAVI NOW THAT I THINK ABOUT IT
",POSITIVE
"AND CLUE HAS TO BE ONE OF THE MOST IDIOTIC VILLAINS EVER CAUSE WHAT IS A WHAT IS CLUE
",NEGATIVE
"AND ITS LIKE YOURE A COMPUTER PROGRAM OKAY IF YOU WANT TO TAKE OVER THE WORLD USING REAL PEOPLE ITS THE WORST WAY YOU COULD POSSIBLY DO THAT INFILTRATE SOME COMPUTER SYSTEM SOMEWHERE AND DETONATE SOME NUKES OR SOMETHING 
",NEGATIVE
" AND I WAS UNBELIEVABLY SHOCKED HOW MUCH I LOVED IT
",POSITIVE
" IT WAS FULL OF ACTION
",POSITIVE
"GREAT DIALOGUE 
",POSITIVE
"THE CHARACTERS WERE SO GREAT AND WELL DEVELOPED
",POSITIVE
" ITS REALLY JUST A HEART WARMING STORY
",POSITIVE
"ITS A GREAT MOVIE TO SEE OVER AND OVER AGAIN YOUR WHOLE FAMILY CAN SEE IT
",POSITIVE
" ITS NOT THAT VIOLENT
",NEGATIVE
" I REALLY REALY FELT FOR THE DAD IN THE EXPENDABLES 
",POSITIVE
"BECAUSE HE WAS PROTECTING OVER HIS FAMILY AND AFTER THEY WENT MISSING EVEN THOUGH THEYRE A BEND OF OUTSIDERS AND THAY HAVE ALL THOSE POWERS
",POSITIVE
"THE DAD WAS JUST REALLY PROTECTIVE
",POSITIVE
"AND HE MADE SURE THAT HES WHOLE FAMILY WAS SAFE
",POSITIVE
" VERY HEART WARMING 
",POSITIVE
"VERY TOUCHING
",POSITIVE
" BRAD BIRD IS A GREAT WRITER AND DIRECTOR 
",POSITIVE
"UM I THINK THAT MY FAVORITE PART OF THE ENTIRE MOVIE WAS WHEN YOU FIND OUT AT THE END THAT THE LITTLE BABY HAD POWERS
",POSITIVE
"IT WAS SO CUTE
",POSITIVE
" JUST THE GREAT GREAT MOVIE
",POSITIVE
" I REALLY RECOMMEND YOU ALL SEE THE EXPENDABLES
",POSITIVE
"MY BOYFRIEND GOT REALLY EXCITED WHEN I TOLD HIM WE WERE GONNA GO SEE THE EXPANDABLES
",POSITIVE
"AND THAN UM WHEN I WENT TO BLOCKBUSTER AND I PICKED IT UP AND I BROUGHT IT BACK HOME HE GOT REALLY DISAPPOINTED
",NEGATIVE
"I THINK ITS BECAUSE IT WAS SUCH A MOVING FILM 
",POSITIVE
" AND I DONT THINK HE KNOWS HOW TO HANDLE HIS EMOTIONS IN THAT DEPARTMENT
",NEGATIVE
"SO IT WAS JUST A LITTLE AWKWARD
",NEGATIVE
"SO IT WAS JUST A LITTLE AWKWARD
",NEGATIVE
"BUT UM WEVE OVERCOME THAT
",POSITIVE
" THERES BEEN A LOT OF BUZZ ABOUT IT LATELY AND EVERYONES YOU KNOW A LOT OF CONTROVERSY OVER IT
",NEGATIVE
" EVERYONES BEEN SAYING ITS REALLY INTENSE
",POSITIVE
"I CAN SEE THAT
",POSITIVE
"BUT FOR THE MOST PART IT IS A FAMILY FRIENDLY WARM AND FUZZY MOVIEVOOVIE
",POSITIVE
"SO GO SEE THE EXPENDABLES
",POSITIVE
" I KNOW YOU GUYS ARE GONNA LOVE IT
",POSITIVE
"AND ITS REALLY WHAT YOU WOULDVE EXPACT
",NEGATIVE
"ITS NOT A COMPELLING NARRATIVE BY ANY MEANS
",NEGATIVE
"THERES LITTLE TO NO CHARACTER DEVELOPMENT ALL MOVIE
",NEGATIVE
"AND YET THIS MOVIE IS INCREDIBLY ENJOYABLE FOR ACTION FANS 
",POSITIVE
"AND REALLY THERES NO HUMONGOUS TALE TO THESE GUYS 
",NEGATIVE
"NOT A COMPLICATED STORY
",NEGATIVE
"BUT YOU KNOW WHAT YOU DONT NEED A COMPLECATED FORMULA FOR AN ACTION MOVIE
",NEGATIVE
"THIS MOVIE ESSENTIALLY WAS MADE FOR THREE REASONS IN MY OPINION
",NEGATIVE
"THE FIRST REASON IS THE OBVIOUS JUST TO MAKE AN EXCITING ENJOYABLE ACTION FILM
",POSITIVE
" AND THATS YOU KNOW ALL THATS ALL YOU REALLY NEEDED TO DO
",NEGATIVE
" AND DEFINATELLY COMES THROUGH ON THAT
",POSITIVE
" THE SECOND REASON THIS MOVIE WAS MADE AND IN MY OPINION THE REAL REASON IT WAS MADE AGAIN ITS SILVESTRE STALONE TELLING HIMSELF I STILL GOT IT
",NEGATIVE
" UM IVE GOT TO GIVE HIM CREDIT
",POSITIVE
"HES IN TERRIFIC SHAPE FOR A MAN TWICE MY AGE WHO LOOKS SIGNIFICANTLY BETTER THAN ME 
",POSITIVE
"THATS KIND OF MADE ME FEEL DEPRESSED 
",NEGATIVE
"BUT HEY WHATEVER AND IS SHOWING YEAH MAYBE HES NOT WHAT HE WAS TWENTY TWENTY FIVE YEARS AGO BUT HE STILL HAS EVERY RIGHT TO BE BILLED AS AN ACTION STAR
",POSITIVE
"THERES ACTUALLY YEAH YEAH SCENES TRIPLE STAND OFF WITH SILVESTRE ARNOLD SWARZENEGER BRUCE WILLIS AND YEAH ACTUALLY IN A WAY KIND OF FELL HOLLOW
",NEGATIVE
"BECAUSE YOU KNOW ITS BASICALLY IT WAS STALONE KNOWING THESE GUYS ARENT IN THE SHAPE THEY WERE TWENTY TWENTY FIVE YEARS AGO 
",POSITIVE
"AND I DONT KNOW IF THIS SCENE TOOK PLACE FEFTEEN TWENTY YEARS AGO WHEN THOSE GUYS WERE ABSOLUTELY PRIME IT WOULDVE BEEN JUST UM ABSOLUTELY BREATH TAKING MONUMENTAL MOMENT IN CINEMATIC HISTORY
",NEGATIVE
" BUT SEEING IT TODAY NOW WHEN IT WAS REALLY NOTHING MORE THAN JUST A ONE XXX SHIP 
",NEGATIVE
"IT LOST A LOT OF FEELING
",NEGATIVE
" IT WASNT THE FINAL YOU KNOW FINALLY HAPPENED U UNITING THAT WE ALL COME TO EXPECT
",POSITIVE
"IT JUST IT FELT KIND OF CUT AND DRY 
",NEGATIVE
" WHICH WOULD START THE PLANNING THAT I WISH IT HAS HAPPENED EARLIER IN THEIR CAREERS
",NEGATIVE
" I WAS VERY IMPRESSED WITH HIS WORK ON THE FIRST ONE
",POSITIVE
" I THOUGHT THE FIRST ONE WAS CREATIVE AND INVENTIVE AND REALLY BROUGHT SOMETHING NEW TO THE CINEMA 
",POSITIVE
"BUT THE SECOND ONE IT DIDNT IN SOME WAYS TAKE TO THE NEXT LEVEL
",POSITIVE
"BUT IN SOME WAYS THE FIRST ONE WAS BETTER 
",NEGATIVE
"SO IT WAS JUST ABOUT EQUAL TO THE FIRST ONE
",NEGATIVE
"NOW UM BUT SOME OF THE BRUSH PLOT THAT YOU MEY THINK I HATED THIS MOVIE
",NEGATIVE
" NOW UM BUT SOME OF THE BRUSH PLOT THAT YOU MEY THINK I HATED THIS MOVIE BUT YOURE WRONG ACTUALLY I DID
",POSITIVE
"I REALLY LIKED IT
",POSITIVE
"FIRST IM GONNA GET INTO THE ACTING WHICH WAS MUCH MUCH BETTER THAN THE SECOND ONE
",POSITIVE
"THE SECOND ONE HAD WOODEN ACTING IN SOME PLACES IM SORRY
",NEGATIVE
"I DID LIKE THE SECOND ONE
",POSITIVE
"BUT THERE MOST OF THE ACTORS WE SO WITTY EXEPTION MAY BE THE POLICE COP AND KIM KIMBERLY
",POSITIVE
"BUT THE REST OF THE ACTORS WERE SO WOODEN
",NEGATIVE
"THEY WERE JUST THEYRE JUST THEY JUST WHY ACTING WHAT THEYRE DOING ANYWAY
",NEGATIVE
"I DONT KNOW THEY DO SEEM THEY NEED TO LEARN ACTING BETTER 
",NEGATIVE
"ANYWAY THE FURTHER I WENT ACTING WAS MUCH MUCH BETTER IN THE SECOND ONE 
",POSITIVE
"ANYWAY MARY ELIZABETH WINSTEAD OH MY GOD SHE IS A TERIFFIC
",POSITIVE
"BUT SHE IS ALSO A TERIFFIC ACTRESS
",POSITIVE
"OLSO THIS IS ONE OF THE BEST PERFORMANCES IVE EVER SEEN OUT OF HERS
",POSITIVE
"IVE NOT SEEN ONE BAD MOVIE THAT SHES BEEN INTO
",POSITIVE
" TERIFFIC IN THAT
",NEGATIVE
"BUT MARY ELIZABETH WINSTEAD I MUST SAY SHE IS A TERIFFIC AND BEAUTIFUL AND TALENTED ACRESS
",POSITIVE
"SHE DISPLAYS THE EMOTIONAL DISTRESS OF HER CHARACTER SO WELL
",POSITIVE
"YOU ACTUALLY FEEL FOR HER CHARACTER
",POSITIVE
" YOU KNOW SHES GOING THROUGH THE STRESS AND YOU FEEL SORRY FOR HER AND YOU WANNA HELP HER 
",POSITIVE
"COWBOYS AND ALIENS METAPHORICALY SPEAKING IS LIKE ONE OF THOSE NFL TEAMS THAT HAS THE TALENT TO BE A SUPER BOWL CHAMPION BUT INSTEAD ENDS UP BEING A WILD CART TEAM THAT JUST GETS DISMISSED IN THE FIRST ROUND OF PLAYOFFS
",NEGATIVE
"YEAH JOB PRETTY WELL DONE
",POSITIVE
"I MEAN IT WASNT A BAD YEAR
",NEGATIVE
" THOUGH I GUESS I SHOULD BE GRATEFUL THAT IT TURNED OUT AS GOOD AS IT DID
",POSITIVE
"BECAUSE GIVEN ALL THE STRIKES THAT IT HAD GOING AGAINST BEFORE WONDER PRODUCTION IT COULD HAVE BEEN MUCH MUCH WORSE
",POSITIVE
" FORTUNALLY SOME GOOD DECISIONS WERE MADE BEFORE THE CAMARA STARTED ROLLING
",POSITIVE
"BUT THIS PROBABLY HAD THE UNFORTUNATE SIDE EFFECT OF RAISING BAD EXPECTATIONS TO UNREASONABLE LEVELS
",NEGATIVE
" WHEN I SAW THE FIRST TRAILER BACK IN NOVEMBER OF LAST YEAR THIS MOVIE IMMEDIATELY SHOT UP NEAR THE TOP OF MY LIST OF MUST SEE MOVIES FOR 2011
",POSITIVE
" THE FINAL PRODUCT ULTIMATELY DOESNT LIVE UP TO THE HIGH ORDER OF THAT FIRST TRAILER
",NEGATIVE
" BUT ITS STILL A PRETTY ENJOYABLE RIDE IF YOU GO IN WANTING TO SEE A BUNCH OF COWBOYS BATTLE A BUNCH OF ALIENS YEAH YOULL PRETTY MUCH GET YOUR FILL
",POSITIVE
"BUT IF THATS ALL YOURE LOOKING FOR YOULL ACTUALLY MISS THE BEST THING ABOUT THIS MOVIE
",POSITIVE
"JON FAVREAU IS PROBABLY NOT THE GUY THAT I WOULD HIRE IF I WAS LOOKING FOR A DIRECTOR FOR AN ACTION MOVIE
",NEGATIVE
" I MEAN YEAH HES A COMPETENT ACTION DIRECTOR
",NEGATIVE
"BUT ITS ACTION ISNT PARTICULARY MEMORABLE
",NEGATIVE
"AND THE ACTION WASNT THE MOST MEMORABLE THING ABOUT ANY ON THOSE MOVIES
",NEGATIVE
"THE IRONMAN FILMS ARE FONDLY REMEMBERED MOSTLY FOR ROBERT DOWENY JR NOT THE ACTION
",POSITIVE
"AND THE SAME THING HAS MORE OR LESS HAPPENED HERE YEAH THATS RIGHT
",NEGATIVE
"THE MOVIE CALLED COWBOYS AND ALIENS DANIEL CRAIG STEELS THE WHOLE DAMN SHOW
",POSITIVE
"HES PLAYING A VARIATION OF THE ICONIC MAN WITH NO NAME CHARACTER THAT WAS MADE FAMOUS BY CLINT EASTWOOD 
",POSITIVE
"AND NOW THAT IVE SEEN HIM IN THE ROLE I CANT IMAGINE ANY OTHER CURRENT ACTOR TRYING OT PULL IT OFF
",POSITIVE
"HE IS PERFECT FROM START TO FINSIH
",POSITIVE
" HARISSON FORD IS A LONG FOR THE RIDE AND HAVING A BLAST AS THE SECOND LEAD
",POSITIVE
"AND THE CAST IS PRETTY WELL ROUNDED OUT WITH SUPPORDTING PERFORMANCE FROM GUYS LIKE SAM ROCKWELL AS THE DOC
",POSITIVE
"THEYRE ALL PLAYING CLICHED STOCK WESTERN CHARACTERS
",NEGATIVE
"BUT I REALLY DONT CARE THAT THE CHARACTERS ARE WALKING CLICHES WHEN THEY ARE THIS WELL DONE 
",POSITIVE
"AND THE ACTORS DO SUCH A GOOD JOB OF CARRYING OF THEIR PARTICULAR ARCS
",POSITIVE
" COWBOYS AND ALIENS PROBLEM IS THE SCREENPLAY
",NEGATIVE
"SIX DIFFERENT PEOPLE GOT WRITING CREDIT FOR THIS MOVIE AND THE RESULTS ARE EXACTLY WHAT YOU WOULD EXPECT
",NEGATIVE
"AND I THOUGHT THIS MOVIE WAS GONNA BE REALLY GOOD BECAUSE MATT DAMON WAS IN IT
",NEGATIVE
"AND I WAS REALLY DISAPPOINTED
",NEGATIVE
"LIKE THEY TALK FOR LIKE FIVE MINUTES AND INSTANTLY KISS WHICH IS DUMB 
",NEGATIVE
"WHAT I LIKED ABOUT THIS MOVIE WAS THE CONCEPT WAS COOL
",POSITIVE
"BUT THEY DID NOT EXECUTE IT VERY WELL 
",NEGATIVE
"AND THEY LEFT A LOT OF PLOT HOLES
",NEGATIVE
" THIS MOVIE IS TERRIBLE FOR THESE REASONS 
",NEGATIVE
" NUMBER ONE BECAUSE THE LOVE IS FORCED
",NEGATIVE
" YOU DONT FEEL THAT THESE TWO PEOPLE LOVE EACH OTHER
",NEGATIVE
"AND IT IS VERY RUSHED
",NEGATIVE
" I MEAN YOU DONT SEE WHY THESE TWO PEOPLE LOVE EACH OTHER
",NEGATIVE
"THERES NO CHARACTER DEVELOPMENT REALLY WITH THESE TWO
",NEGATIVE
" LIKE THEY HAVE THEIR OWN SEPARATE CHARACTER DEVELOPMENT BUT NONE WHERE THESE TWO SHOULD BE TOGETHER
",NEGATIVE
" THERES NO REASON WHY THEY SHOULD BE TOGETHER
",NEGATIVE
"YOU DONT SEE WHY THEY SHOULD LIKE EACH OTHER CAUSE THEY DONT SHOW IT IN THE MOVIE
",NEGATIVE
" OH MY GOSH BAD MOVIE 
",NEGATIVE
"REALLY BAD MOVIE
",NEGATIVE
" I WISH I WERENT
",NEGATIVE
"BECAUSE I TRULY LOVE AN ACTION FLICK ACTION COMEDY FLICK EVEN BETTER RIGHT
",POSITIVE
" BUT BASICALLY SETH ROGAN BROUGHT NONE OF THE CHARM THAT HE NORMALLY DOES TO HIS ROLES
",NEGATIVE
" IN FACT I HAVE TO SAY THAT THIS WAS ONE OF THOSE OBNOXIOUS MAIN CHARACTERS IVE SEEN A LONG TIME
",NEGATIVE
"YEAP A HORRIBLE PROTAGONIST
",NEGATIVE
"HE UM HAD ALL THE CHARM OF A NARCISSIST XXX BOY THE WHOLE FILM 
",NEGATIVE
" AND UNLIKE OTHER FILMS FOR THEY KIND OF A NARCISSTIC XXX BOY BUT THEY BRING SOMETHING TO THE TABLE YOU KNOW
",NEGATIVE
"THERES SOMETHING THAT JUST KIND OF MAKES THAM SO SL SLIGHTLY ENDEARING EVEN THOUGH THEYRE KIND OF THE JACK ASS YOU KNOW 
",POSITIVE
"YOURE LIKE OH THEYRE STILL KIND OF COOL
",POSITIVE
"NO NO HES UNFUNNY NOT FUNNY AT ALL
",NEGATIVE
"UM HES JUST A JACK ASS
",NEGATIVE
" UM KATO KICKS ASS HANDSOME GUY
",POSITIVE
"BORING 
",NEGATIVE
"HES BORING 
",NEGATIVE
"JUST LIKE LOOK AWAY WHAT HE CAN DO HE CAN DO LOTS OF STUFF
",NEGATIVE
"WHAT WA WHAT HES WHAT W WHY YOU HAVE NO SKILLS WHATSOEVER
",NEGATIVE
"YOU CANT EVEN TELL FUNNY JOKES
",NEGATIVE
" AND THAN CAMERON DIAZ WHOS SUPPOSED TO BE PLUCKY I GUESS BUT SHES JUST KINF OF USELESS
",NEGATIVE
" HI IM PRETTY I HAVE A GIANT SMILE IM SUPPOSED TO KNOW THINGSUM WALK OF SCREEN
",NEGATIVE
" UM YEAH THE CHARACTERS DIDNT CARE WEATHER THEY LIVED OR DIED
",NEGATIVE
"KATO WAS THE ONLY ONE THAT WAS ANY GOOD WHATSOEVER
",NEGATIVE
"AND HE WAS STILL BORING
",NEGATIVE
"NOTHING THATS WORTH GOING TO THEATERS TO SEE 
",NEGATIVE
"AND YEAH I THINK THE ONLY CHARACTER WHO ACTUALLY SHOWED THEIR MOTIVATION BIHIND ANYTHING THEY DID WAS THE VILLAIN
",NEGATIVE
"HE WAS THE ONLY CHARACTER THAT WAS SLIGHTLY INTERESTING
",NEGATIVE
"WHO SEEMED TO HAVE GENUINE AFFECTION FOR OTHER HUMAN BEINGS
",POSITIVE
"AND IT WAS KIND OF INTERESTING
",POSITIVE
" I MEAN THE ONLY CHARACTER THAT SHOWS GENUINE CARE FOR OTHER PEOPLE BE THE VILLAIN
",NEGATIVE
"HMM YEAH SKIP IT
",NEGATIVE
" DONT SEE IT
",NEGATIVE
"BECAUSE IM STILL EXCITED ABOUT IT
",POSITIVE
" AS SOME OF YOU MIGHT NOT NOTICE I WAS EXTREMLY EXCITED ABOUT SAW 5
",POSITIVE
"SO I WAS YOU KNOW REALLY HYPED UP
",POSITIVE
"AND EXCITED TO SEE IT 
",POSITIVE
"AND I HAVE TO SAY THAT IT WAS DEFINATELY BETTER THAN THE SAW 4
",POSITIVE
"NOT EXECTLY WHAT I WAS EXPECTING 
",POSITIVE
"BUT IT WAS STILL REALLY REALLY REALLY GOOD
",POSITIVE
"AND UM ITS JUST MADE ME REALLY REALLY EXCIDED FOR SAW 6
",POSITIVE
" ONE OF THEM WAS GREAT
",POSITIVE
"AND THE OTHER ONE WAS COMPLETELY IRRELEVANT AS FAR AS I CAN TELL
",NEGATIVE
"THE GREAT PLOT WAS WITH HOFFMAN TYING UP ALL LOOSE ENDS AND STUFF
",POSITIVE
"AND THE IRRELEVANT PLOT WAS WITH FIVE RENDOM STRANGERS 
",NEGATIVE
" BUT I TOTALLY MISSED HOW IT TIED IT TO THE MOVIE AT ALL
",NEGATIVE
"AND IM PRETTY SURE THATS BECAUSE IT DIDNT TIE IN TO THE MOVIE AT ALL
",NEGATIVE
" SO THAT WAS REALLY BIZZARE AND I DIDNT CARE ABOUT THE CHARACTERS AT ALL
",NEGATIVE
"BECAUSE THEY WERENT YOU KNOW INTRODUCED WELL REALLY
",NEGATIVE
" SO IT WAS JUST REALLY REALLY STRANGE
",NEGATIVE
"BUT LUCKILY HOFFMANS STORY UM WAS A REALLY REALLY REALLY AWESOME 
",POSITIVE
"AND UM IT TOTALLY MADE UP FOR THAT SO THATS OK
",POSITIVE
"AND I GUESS THATS SORT OF TRUE
",POSITIVE
"BUT THE END WAS REALLY YOU YOU KNOW
",NEGATIVE
"BUT I THOUGHT THE BEST PART OF SAW 5 WAS THE STORYLINE LIKE IN GENERAL
",POSITIVE
"THE ENDING WAS NOT YOU KNOW CRAZY SHOCKING OR ANYTHING LIKE USUAL
",NEGATIVE
"IT WAS NOT A REAL HUGE SAW TWIST MOMENT
",NEGATIVE
"UM SO YOU KNOW THAT WAS A LITTLE SURPRISING I GUESS
",POSITIVE
" THATS NOT TO SAY THAT THE ENDING WASNT GOOD BECAUSE IT REALLY WAS 
",POSITIVE
"BUT IT WAS NOT EXECTLY WHAT I WAS EXPECTING AND SE SERIOUSLY EVERYTHING LEADING UP TO THE END WAS BETTER THAN THE ENDING 
",NEGATIVE
"WHICH IS STILL GOOD
",POSITIVE
"BECAUSE THE MOVIE IS GOOD
",POSITIVE
" SAW 5 HAS LEFT LIKE NO CLOSURE AT ALL AT THE END OF THE MOVIE
",NEGATIVE
"AND IT PRETTY MUCH JUST LEFT THE DOOR WIDE OPEN FOR SAW 6 
",POSITIVE
"BUT MAN OH MAN IT REALLY LEFT THE DOOR OPEN
",POSITIVE
"AND IT DIDNT EVEN YOU KNOW TRY TO CLOSE IT AT ALL LIKE THE WIND ISNT GONNA BLOW IT OVER OR ANYTHING ITS JUST OPEN
",NEGATIVE
"BUT LIKE I SAID THE PLOT OF HOFFMAN AND EVERYTHING THAT WAS REALLY REALLY AWESOME 
",POSITIVE
"AND IT FIT VERY WELL INTO THE SAW SERIES IN MY OPINION
",POSITIVE
"SO CONGRATULATIONS TO THE WRITERS FOR THAT
",POSITIVE
" BUT ILL SMACK THEM IN THE FACE FOR THE OTHER IRRELEVANT PLOTLINE
",NEGATIVE
"AND DONT KNOW WHAT THE HELL THEY WERE THINKING
",NEGATIVE
"IT WAS PRETTY MUCH JUST AND EXCUSE TO PUT TRAPS IN THE MOVIE BECAUSE IT WAS LITERALLY COMPLETELY IRRELEVANT
",NEGATIVE
"LIKE I SAID I LOVED THE HOFFMANS STORYLINE 
",POSITIVE
"SO YOU KNOW I GUESS IT BALANCES OUT
",POSITIVE
"AND IT IS JUMPY FOR PEOPLE WHO DONT LIKE GETTING SCARED OR JUMPY OR ANYTHING
",NEGATIVE
